row_type,objective_slot,objective_name,objective_display_name,objective_numerical_aperture,objective_um_per_pixel,objective_backlash_x,objective_backlash_y,objective_backlash_z,objective_dof_steps,objective_focus_stack_step,objective_autofocus_range_steps,stage_um_per_step_x,stage_um_per_step_y,axis,commanded_steps,rep,valid,reason,um_per_step,measured_px,dx_px,dy_px,cross_axis_px,phase_response,template_score
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,Y,200,1,True,,3.03112,165.062,6.532,165.062,6.532,0.1633,0.1609
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,Y,200,2,True,,3.24577,176.751,5.78,176.751,5.78,0.1537,0.1252
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,Y,200,3,True,,3.06178,166.732,5.912,166.732,5.912,0.1804,0.1869
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,Y,200,4,True,,3.09245,168.402,5.960,168.402,5.960,0.1976,0.2128
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,Y,200,5,True,,3.12311,170.072,6.019,170.072,6.019,0.2382,0.2380
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,Y,200,6,True,,3.15378,171.741,6.078,171.741,6.078,0.3632,0.2114
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,Y,200,7,True,,3.18444,173.411,6.137,173.411,6.137,0.2934,0.1826
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,Y,200,8,True,,3.21511,175.081,6.196,175.081,6.196,0.2235,0.1539
trial,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,Y,200,9,True,,3.12251,170.039,6.229,170.039,6.229,0.2144,0.2383
summary_mean,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,X,100,,,,2.183169,,,,,,
summary_std,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,X,100,,,,0.0951588929049,,,,,,
summary_n,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,X,100,,,,10,,,,,,
summary_mean,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,X,200,,,,2.222867,,,,,,
summary_std,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,X,200,,,,0.0575407768553,,,,,,
summary_n,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,X,200,,,,10,,,,,,
summary_mean,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,Y,100,,,,3.409915,,,,,,
summary_std,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,Y,100,,,,0.237904202394,,,,,,
summary_n,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,Y,100,,,,10,,,,,,
summary_mean,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,Y,200,,,,3.135785,,,,,,
summary_std,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,Y,200,,,,0.0664919967197,,,,,,
summary_n,4x,4x,4x,0.1,3.672704687965688,100,130,20,803,402,8030,2.2647613696231015,3.2719607095945618,Y,200,,,,10,,,,,,
